"UID","Title","Service","Type","Date Initiated","Date Resolved","Action Taken",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7450"", ""7450"")","MSA Nina Alba - Vista Image Capture","","12. Other Request or Inquiry","10/16/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7448"", ""7448"")","Error Message - Unable to Access ""My Templates""","","12. Other Request or Inquiry","10/16/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7447"", ""7447"")","Remove name ""Rebecca Galas"" from getting alerts for the Holter consults.","","16. **CAC USE ONLY, TESTING PURPOSES***","10/16/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7446"", ""7446"")","Thyroglobulin","","06. CPRS Menu, Order, or Order Set - Change","10/16/2023","11/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7445"", ""7445"")","Chang, C. CPRS","","13. CPRS Training (Self-Paced)","10/16/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7444"", ""7444"")","VA-AES DIALOG UPDATES – Updates to Existing Dialog Templates and New Mental Health Instrument (Clin","","15. **FOR CAC USE ONLY**","10/16/2023","11/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7443"", ""7443"")","Enable View Alerts vor CREC Admission Consult","","16. **CAC USE ONLY, TESTING PURPOSES***","10/13/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7442"", ""7442"")","Review Flu Template CPT Codes","","12. Other Request or Inquiry","10/13/2023","10/13/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7441"", ""7441"")","Clinical inoformatics Leaf","","12. Other Request or Inquiry","10/13/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7440"", ""7440"")","Alert modification","","16. **CAC USE ONLY, TESTING PURPOSES***","10/13/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7439"", ""7439"")","DM Clinical reminder","","01. Clinical Reminder - Troubleshooting/Questions","10/13/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7438"", ""7438"")","New consult location","","04. Consult Service - New","10/13/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7437"", ""7437"")","ACTION-VA-Emergency Department Medical Decision Making Cat Temp(Clinical Reminder Update_2_0_388)","","15. **FOR CAC USE ONLY**","10/13/2023","11/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7436"", ""7436"")","Vancomycin alert","","12. Other Request or Inquiry","10/13/2023","10/17/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7433"", ""7433"")","SAC Ortho SF IFC Dr. Brett Anderson inquiry","","12. Other Request or Inquiry","10/13/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7432"", ""7432"")","update the Nonpurulent Skin and Soft Tissue Infection regimen to “Cefadroxil 500mg BID x 5 days”","","06. CPRS Menu, Order, or Order Set - Change","10/13/2023","10/23/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7431"", ""7431"")","Consult Access","","16. **CAC USE ONLY, TESTING PURPOSES***","10/13/2023","10/13/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7430"", ""7430"")","consult access for SW","","16. **CAC USE ONLY, TESTING PURPOSES***","10/13/2023","10/13/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7428"", ""7428"")","VISN21 Oncology clinical trials CPRS Tools link","","15. **FOR CAC USE ONLY**","10/13/2023","10/13/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7427"", ""7427"")","VA-WHS WELL-BEING SIGNS TEMPLATE UPDATE (Clinical Reminder Update_2_0_404)","","15. **FOR CAC USE ONLY**","10/13/2023","10/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7426"", ""7426"")","Update Home Infusion Therapy Consult","","05. Consult Service - Template","10/12/2023","10/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7425"", ""7425"")","New Note Title","","08. Note - New Title","10/12/2023","11/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7423"", ""7423"")","Unable to Upload","","12. Other Request or Inquiry","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7422"", ""7422"")","inactivate EYE CLINIC - DIABETES GLASSES ONLY OUTPT (SAC)","","03. Consult Service - Change","10/12/2023","10/24/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7421"", ""7421"")","Need access to STN Pulmonary Outpt and PFT STN","","16. **CAC USE ONLY, TESTING PURPOSES***","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7420"", ""7420"")","CPRS Group PT class participation note change","","09. Note - Template Request","10/12/2023","10/17/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7419"", ""7419"")","Update Flu Vaccine Order Menu for Inpatient Administration of Flu Vaccine","","06. CPRS Menu, Order, or Order Set - Change","10/12/2023","11/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7418"", ""7418"")","Need additional CPRS alert setup","","12. Other Request or Inquiry","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7417"", ""7417"")","Remove Secure Messaging","","12. Other Request or Inquiry","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7416"", ""7416"")","Question regarding a clinic","","12. Other Request or Inquiry","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7414"", ""7414"")","New VJO Outreach Template","","09. Note - Template Request","10/12/2023","10/17/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7413"", ""7413"")","Remove from Endocrinology/Rheumatology secure message","","12. Other Request or Inquiry","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7412"", ""7412"")","New VJO Assessment Template","","09. Note - Template Request","10/12/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7411"", ""7411"")","New VJO Note title 2","","08. Note - New Title","10/12/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7410"", ""7410"")","New VJO Note Title 1","","08. Note - New Title","10/12/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7409"", ""7409"")","CPRS not working","","14. ***CPRS 32B Issue Reporting***","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7408"", ""7408"")","Add consult access","","16. **CAC USE ONLY, TESTING PURPOSES***","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7407"", ""7407"")","CPRS error message","","12. Other Request or Inquiry","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7405"", ""7405"")","ShiftHandoffTool MAC error","","12. Other Request or Inquiry","10/12/2023","10/12/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7404"", ""7404"")","New SWS VJO Telephone note","","09. Note - Template Request","10/12/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7403"", ""7403"")","New VJO Court Memo Template","","09. Note - Template Request","10/12/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7402"", ""7402"")","New VJO court Note Template","","09. Note - Template Request","10/12/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7401"", ""7401"")","Event Capture Error/Missing","","12. Other Request or Inquiry","10/12/2023","10/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7400"", ""7400"")","Blood culture label","","06. CPRS Menu, Order, or Order Set - Change","10/11/2023","10/13/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7399"", ""7399"")","Add consult alert/access","","16. **CAC USE ONLY, TESTING PURPOSES***","10/11/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7395"", ""7395"")","Administrative consult access for new provider","","16. **CAC USE ONLY, TESTING PURPOSES***","10/11/2023","10/13/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7394"", ""7394"")","CPRS training","","13. CPRS Training (Self-Paced)","10/11/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7393"", ""7393"")","add Charlene Phipps FF ICMHRS","","16. **CAC USE ONLY, TESTING PURPOSES***","10/11/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7391"", ""7391"")","Remove consult alerts","","16. **CAC USE ONLY, TESTING PURPOSES***","10/11/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7390"", ""7390"")","Update to Infliximab Rapid Infusion","","06. CPRS Menu, Order, or Order Set - Change","10/11/2023","10/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7389"", ""7389"")","ACTION-VA-GASTROESOPHAGEAL VARICES SCREENING REMINDER-(Clinical Reminder Update_2_0_376)","","15. **FOR CAC USE ONLY**","10/11/2023","10/24/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7388"", ""7388"")","Nursing Restraint Note","","09. Note - Template Request","10/11/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7387"", ""7387"")","E-BuckSlip","","07. CPRS Menu, Order, or Order Set - New","10/10/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7386"", ""7386"")","PREGNANCY CONSULT OUTPT stop code","","03. Consult Service - Change","10/10/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7385"", ""7385"")","PLEASE FORWARD ALERTS TO DR. THERESA CANAVAN","","16. **CAC USE ONLY, TESTING PURPOSES***","10/10/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7383"", ""7383"")","Alerts and Access Lowe","","16. **CAC USE ONLY, TESTING PURPOSES***","10/10/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7382"", ""7382"")","Remove Alerts for Lowe","","16. **CAC USE ONLY, TESTING PURPOSES***","10/10/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7381"", ""7381"")","Add COVID-19 Vaccine to inpatient discharge order menu","","07. CPRS Menu, Order, or Order Set - New","10/10/2023","10/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7380"", ""7380"")","CPRS Training","","13. CPRS Training (Self-Paced)","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7379"", ""7379"")","CPRS Training","","13. CPRS Training (Self-Paced)","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7378"", ""7378"")","Remove Nifedipine ER DSOS quick order from Women's Health Order Menu","","06. CPRS Menu, Order, or Order Set - Change","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7377"", ""7377"")","CPRS view alert and co-signer removal for Kjersti Rich","","12. Other Request or Inquiry","10/10/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7376"", ""7376"")","CPRS Training","","13. CPRS Training (Self-Paced)","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7374"", ""7374"")","consult","","16. **CAC USE ONLY, TESTING PURPOSES***","10/10/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7372"", ""7372"")","Autoprint","","12. Other Request or Inquiry","10/10/2023","11/9/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7371"", ""7371"")","CPRS Training","","13. CPRS Training (Self-Paced)","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7370"", ""7370"")","CPRS Training","","13. CPRS Training (Self-Paced)","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7369"", ""7369"")","remove note title hcc progress note","","10. Note - Title Change","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7367"", ""7367"")","View Alert Removal","","12. Other Request or Inquiry","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7365"", ""7365"")","Clinical reminders","","12. Other Request or Inquiry","10/10/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7363"", ""7363"")","Remove HPDP from outpatient MH Chico consults","","16. **CAC USE ONLY, TESTING PURPOSES***","10/6/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7362"", ""7362"")","CATCH Admin note updates","","09. Note - Template Request","10/6/2023","11/1/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7361"", ""7361"")","WH Consult update Access","","16. **CAC USE ONLY, TESTING PURPOSES***","10/6/2023","10/10/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7360"", ""7360"")","Please build COVID-19 vaccine order set on the Clinic Medications menu","","06. CPRS Menu, Order, or Order Set - Change","10/6/2023","10/17/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7359"", ""7359"")","general troubleshooting regarding surrogates","","12. Other Request or Inquiry","10/6/2023","10/11/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7357"", ""7357"")","CPRS Training","","13. CPRS Training (Self-Paced)","10/6/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7356"", ""7356"")","REMOVE NOTES","","12. Other Request or Inquiry","10/6/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7352"", ""7352"")","Grant access to JLV for Rona Kaye N. Hillerman","","12. Other Request or Inquiry","10/6/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7351"", ""7351"")","CPRS TRAINING REQUEST FOR SHAQUITA NUNALEY(NEW EMPLOYEE)","","13. CPRS Training (Self-Paced)","10/6/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7350"", ""7350"")","Dr Pritchard does not see the consult associated when completing his consult progress note","","16. **CAC USE ONLY, TESTING PURPOSES***","10/6/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7349"", ""7349"")","Virtual Care Manager needs to be updated- how to do?","","12. Other Request or Inquiry","10/6/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7348"", ""7348"")","ACTION-VA-Long QT Reminder Order Check Update (Clinical Reminder Update_2_0_398)","","15. **FOR CAC USE ONLY**","10/5/2023","10/24/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7345"", ""7345"")","Toxic Exposure Screen Follow Up Note","","08. Note - New Title","10/5/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7344"", ""7344"")","Modification to existing ocrelizumab clinic infusion order set","","06. CPRS Menu, Order, or Order Set - Change","10/5/2023","10/23/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7343"", ""7343"")","JESSE COTE, NEW EMPLOYE, CPRS TRAINING REQUEST.","","13. CPRS Training (Self-Paced)","10/5/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7342"", ""7342"")","NEW CONSULT ACCESS - BUKSNAITIS","","16. **CAC USE ONLY, TESTING PURPOSES***","10/5/2023","10/5/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7341"", ""7341"")","Dermatology Resident Consult access","","16. **CAC USE ONLY, TESTING PURPOSES***","10/5/2023","10/5/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7339"", ""7339"")","Change to MTZ anesthesia order set","","06. CPRS Menu, Order, or Order Set - Change","10/5/2023","10/16/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7335"", ""7335"")","Tiffany Nguyen consult access","","16. **CAC USE ONLY, TESTING PURPOSES***","10/5/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7334"", ""7334"")","NSAC Holthaus REMOVE inpt PT notifications","","16. **CAC USE ONLY, TESTING PURPOSES***","10/5/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7333"", ""7333"")","10/4/23 CONSULT ACCESS NEW ENDO MTZ PROV","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/6/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7331"", ""7331"")","Octreotide ""Titrate""","","06. CPRS Menu, Order, or Order Set - Change","10/4/2023","11/3/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7329"", ""7329"")","Balzomo CPRS","","13. CPRS Training (Self-Paced)","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7327"", ""7327"")","Add SPEECH as an option on the REMINDER DIALOG NAME: NURSING REFERRAL COORDINATION NOTE template.","","09. Note - Template Request","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7326"", ""7326"")","612-Tolention Consults Service","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7325"", ""7325"")","Set up Pharmacogenomics Note as CWAD posting per install recommendation and local approval","","15. **FOR CAC USE ONLY**","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7323"", ""7323"")","Consult Access to IFC PRIMARY CARE STOCKTON","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7322"", ""7322"")","Clinic Access Request","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7321"", ""7321"")","Pain Clinic Consult Template Revision","","05. Consult Service - Template","10/4/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7320"", ""7320"")","Add employee to access and write Institutional Disclosure Note","","12. Other Request or Inquiry","10/4/2023","10/5/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7319"", ""7319"")","NSAC Holthaus, remove INPT PT view alerts","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7318"", ""7318"")","Inactivate consult","","03. Consult Service - Change","10/4/2023","10/5/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7317"", ""7317"")","Remove consult alert","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7316"", ""7316"")","Add consult alert","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7315"", ""7315"")","Remove consult alerts","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7314"", ""7314"")","Remove consult alerts","","16. **CAC USE ONLY, TESTING PURPOSES***","10/4/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7313"", ""7313"")","ED OPIOID DETOX MENU","","06. CPRS Menu, Order, or Order Set - Change","10/3/2023","10/13/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7312"", ""7312"")","consult access","","16. **CAC USE ONLY, TESTING PURPOSES***","10/3/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7309"", ""7309"")","VA-Oracle Cerner Data Reminder Order Check (Clinical Reminder Update_2_0_389)","","15. **FOR CAC USE ONLY**","10/3/2023","10/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7308"", ""7308"")","Consult Access - Jakobson","","16. **CAC USE ONLY, TESTING PURPOSES***","10/3/2023","10/3/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7307"", ""7307"")","is it possible to have surgical specialty letter to pt under CPRS note titles such as ""vascular let","","12. Other Request or Inquiry","10/3/2023","10/5/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7305"", ""7305"")","Create new note title: CLC/CREC Social Work Discharge Planning Note","","08. Note - New Title","10/3/2023","10/3/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7304"", ""7304"")","Create new note title: CLC/CREC Social Work Telephone Note","","08. Note - New Title","10/3/2023","10/3/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7303"", ""7303"")","Update Template Field VA-OPC JOB AID HYPERLINK","","15. **FOR CAC USE ONLY**","10/3/2023","10/4/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7302"", ""7302"")","Create new note title: CLC/CREC Social Work Multidisciplinary Care Conference Note","","08. Note - New Title","10/3/2023","10/3/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=7301"", ""7301"")","New CLC/CREC Social Work Annual Assessment Note (SWS)","","08. Note - New Title","10/3/2023","10/6/2023","Completed",
